No.,element,resistivity,T_c,,,
4,Be,3.8E-08,0.026,,,
13,Al,2.7E-08,1.19,,,
22,Ti,4.0E-07,0.4,,,
23,V,2.0E-07,5.3,,,
30,Zn,6.0E-08,0.9,,,
31,Ga,1.4E-07,1.1,,,
40,Zr,4.3E-07,0.6,,,
41,Nb,1.5E-07,9.2,,,
42,Mo,5.5E-08,0.92,,,
43,Tc,2.2E-07,7.8,,,
44,Ru,7.1E-08,0.5,,,
45,Rh,4.3E-08,0.003,,,
48,Cd,7.0E-08,0.55,,,
49,In,8.0E-08,3.4,,,
50,Sn,1.2E-07,3.72,,,
57,La,6.2E-07,5.9,,,
72,Hf,3.4E-07,0.13,,,
73,Ta,1.4E-07,4.4,,,
74,W,5.4E-08,0.01,,,
75,Re,1.8E-07,1.7,,,
76,Os,8.1E-08,0.65,,,
77,Ir,4.7E-08,0.14,,,
80,Hg,9.6E-07,4.15,,,
81,Tl,1.5E-07,2.39,,,
82,Pb,2.1E-07,7.2,,,
90,Th,1.5E-07,1.4,,,
91,Pa,1.8E-07,1.4,,,
92,U,2.8E-07,0.2,,,
93,Np,1.2E-06,0.075,,,
95,Am,6.9E-07,0.8,,,